State,Year,GHG_Emissions
AL,1990,84.73928908
AL,1991,83.4666616
AL,1992,89.46170333
AL,1993,85.97619727
AL,1994,86.29301452
AL,1995,96.45540756
AL,1996,101.023665
AL,1997,99.53105252
AL,1998,97.52547135
AL,1999,121.1797377
AL,2000,132.9119259
AL,2001,123.0726949
AL,2002,126.5924585
AL,2003,122.2216559
AL,2004,119.3547152
AL,2005,119.5311549
AL,2006,121.520924
AL,2007,123.8057683
AL,2008,117.7897556
AL,2009,96.57216904
AL,2010,110.4427931
AL,2011,105.8372104
AL,2012,98.49992287
AK,1990,15.98399153
AK,1991,16.89058471
AK,1992,18.29085353
AK,1993,18.60013407
AK,1994,17.68742803
AK,1995,21.403538
AK,1996,21.82235501
AK,1997,21.34539803
AK,1998,21.77224872
AK,1999,21.65746263
AK,2000,21.76286822
AK,2001,20.59255108
AK,2002,20.97192054
AK,2003,20.73921522
AK,2004,25.15159461
AK,2005,24.98909845
AK,2006,21.56936154
AK,2007,19.7383177
AK,2008,15.09088965
AK,2009,12.50434326
AK,2010,13.38926885
AK,2011,13.15857224
AK,2012,12.09591394
AZ,1990,77.78351185
AZ,1991,79.20547242
AZ,1992,81.92672211
AZ,1993,87.77059055
AZ,1994,90.73834712
AZ,1995,87.25955842
AZ,1996,82.43506413
AZ,1997,85.92337479
AZ,1998,90.23514151
AZ,1999,94.15274887
AZ,2000,98.71667203
AZ,2001,101.1610331
AZ,2002,100.4250908
AZ,2003,102.5766405
AZ,2004,109.8658313
AZ,2005,110.3432087
AZ,2006,113.8594514
AZ,2007,115.683127
AZ,2008,116.3770484
AZ,2009,107.2058224
AZ,2010,108.3187385
AZ,2011,106.9240739
AZ,2012,104.864431
AR,1990,22.19569618
AR,1991,21.39068623
AR,1992,23.58066394
AR,1993,23.52516339
AR,1994,28.27570929
AR,1995,38.84204557
AR,1996,53.44518235
AR,1997,54.72936374
AR,1998,55.64276136
AR,1999,57.92595709
AR,2000,57.58826841
AR,2001,57.16627697
AR,2002,56.27132628
AR,2003,54.88078111
AR,2004,53.27379039
AR,2005,50.503942
AR,2006,52.27420542
AR,2007,54.9199633
AR,2008,55.41729769
AR,2009,51.8472354
AR,2010,57.32156306
AR,2011,53.86524111
AR,2012,52.2393468
CA,1990,397.9062093
CA,1991,386.1772288
CA,1992,390.2490563
CA,1993,383.6773585
CA,1994,395.0185555
CA,1995,387.1131815
CA,1996,391.6767705
CA,1997,393.4049866
CA,1998,402.9700046
CA,1999,408.1891555
CA,2000,425.3612428
CA,2001,430.8303738
CA,2002,431.9978427
CA,2003,421.6556192
CA,2004,442.3775421
CA,2005,439.9560908
CA,2006,448.3191431
CA,2007,465.1377035
CA,2008,446.7358776
CA,2009,430.5254899
CA,2010,426.9385734
CA,2011,413.274477
CA,2012,417.2338882
CO,1990,72.64058099
CO,1991,73.75520873
CO,1992,75.45859673
CO,1993,80.3432963
CO,1994,82.16783603
CO,1995,81.48390027
CO,1996,84.9931551
CO,1997,89.07496294
CO,1998,90.98945737
CO,1999,93.04476699
CO,2000,101.2386773
CO,2001,109.0949565
CO,2002,108.0069051
CO,2003,106.6582706
CO,2004,108.2630074
CO,2005,113.2373435
CO,2006,113.6090684
CO,2007,120.9211217
CO,2008,120.0610903
CO,2009,116.7125312
CO,2010,120.8306202
CO,2011,115.947495
CO,2012,114.1005809
CT,1990,39.78477017
CT,1991,39.17825541
CT,1992,39.52305844
CT,1993,38.2438246
CT,1994,37.85562586
CT,1995,37.37112879
CT,1996,40.16052231
CT,1997,43.8506186
CT,1998,44.75033673
CT,1999,48.33558719
CT,2000,49.81391712
CT,2001,48.44195394
CT,2002,46.71259636
CT,2003,49.50584351
CT,2004,51.77190515
CT,2005,50.94382722
CT,2006,40.73283461
CT,2007,40.0100023
CT,2008,37.74530215
CT,2009,35.72103864
CT,2010,36.08803626
CT,2011,34.67323778
CT,2012,33.93664957
DE,1990,19.35617619
DE,1991,19.18694354
DE,1992,19.13302264
DE,1993,20.48030189
DE,1994,19.89459725
DE,1995,19.1984779
DE,1996,19.92584726
DE,1997,18.58043183
DE,1998,17.79229295
DE,1999,17.06897549
DE,2000,16.89970307
DE,2001,16.30441286
DE,2002,16.08506505
DE,2003,16.75377336
DE,2004,16.44190102
DE,2005,17.26194075
DE,2006,16.15390748
DE,2007,17.19347774
DE,2008,16.29677637
DE,2009,12.11362901
DE,2010,12.12349716
DE,2011,13.17979396
DE,2012,14.03193632
DC,1990,4.653699876
DC,1991,4.605782775
DC,1992,4.596266738
DC,1993,4.806666407
DC,1994,4.787863049
DC,1995,4.748753611
DC,1996,4.729849347
DC,1997,5.455546618
DC,1998,5.234335004
DC,1999,5.215542812
DC,2000,5.470420333
DC,2001,5.218147124
DC,2002,5.343743841
DC,2003,4.989342334
DC,2004,5.219495511
DC,2005,4.989359118
DC,2006,4.200476523
DC,2007,4.374039816
DC,2008,4.083897115
DC,2009,3.952442849
DC,2010,4.018168065
DC,2011,3.90069218
DC,2012,3.453349082
FL,1990,221.5405223
FL,1991,222.6512899
FL,1992,226.008015
FL,1993,231.1883751
FL,1994,220.1973296
FL,1995,201.7753983
FL,1996,208.6698409
FL,1997,214.1000874
FL,1998,226.3091821
FL,1999,225.8355393
FL,2000,235.6733641
FL,2001,235.3110614
FL,2002,240.470547
FL,2003,245.6026705
FL,2004,258.1173814
FL,2005,262.0927313
FL,2006,261.040356
FL,2007,259.4765338
FL,2008,240.7267734
FL,2009,225.850707
FL,2010,243.8040768
FL,2011,230.4931359
FL,2012,225.1019092
GA,1990,109.4831772
GA,1991,102.0664975
GA,1992,101.8721218
GA,1993,109.0063298
GA,1994,113.2006145
GA,1995,123.0385514
GA,1996,128.5415192
GA,1997,136.1794091
GA,1998,136.5937604
GA,1999,138.3652254
GA,2000,146.8753226
GA,2001,137.6776246
GA,2002,139.8310654
GA,2003,142.8836086
GA,2004,148.0301883
GA,2005,157.9714989
GA,2006,155.8585528
GA,2007,159.5459042
GA,2008,146.4250066
GA,2009,137.1356666
GA,2010,145.0808413
GA,2011,129.789424
GA,2012,109.8232319
HI,1990,23.13817375
HI,1991,21.44838464
HI,1992,22.31212673
HI,1993,20.79452807
HI,1994,21.94492465
HI,1995,21.93380313
HI,1996,20.97735037
HI,1997,21.36419462
HI,1998,21.35141939
HI,1999,20.99775524
HI,2000,21.5581684
HI,2001,21.75133286
HI,2002,22.96613755
HI,2003,24.02935741
HI,2004,25.17568165
HI,2005,25.58968646
HI,2006,25.84656584
HI,2007,26.86461808
HI,2008,22.32754767
HI,2009,21.76253116
HI,2010,21.8563474
HI,2011,22.43509087
HI,2012,21.86045044
ID,1990,-15.728195
ID,1991,-14.4483331
ID,1992,-15.20692683
ID,1993,-11.1011705
ID,1994,-10.70466137
ID,1995,-8.6944805
ID,1996,-9.132592144
ID,1997,-9.389501447
ID,1998,-8.510337881
ID,1999,-5.658527324
ID,2000,27.24059467
ID,2001,27.54230463
ID,2002,27.15500382
ID,2003,26.66924816
ID,2004,27.92179583
ID,2005,28.49185437
ID,2006,29.44573949
ID,2007,29.89978439
ID,2008,28.78615895
ID,2009,28.04885374
ID,2010,29.00409097
ID,2011,29.6008614
ID,2012,28.50766863
IL,1990,226.9667532
IL,1991,228.1294339
IL,1992,224.5024729
IL,1993,241.0896211
IL,1994,242.0738535
IL,1995,245.1363945
IL,1996,260.7770854
IL,1997,269.1482217
IL,1998,262.2903593
IL,1999,269.3329566
IL,2000,276.7424888
IL,2001,265.555143
IL,2002,266.3663654
IL,2003,264.3142345
IL,2004,259.2669178
IL,2005,265.9862935
IL,2006,261.4247931
IL,2007,270.2196009
IL,2008,266.8411681
IL,2009,247.8281022
IL,2010,254.6471835
IL,2011,253.0413321
IL,2012,234.6655181
IN,1990,215.0952011
IN,1991,211.2846758
IN,1992,208.4483464
IN,1993,213.2033351
IN,1994,212.96667
IN,1995,217.7136611
IN,1996,222.9559642
IN,1997,258.8973163
IN,1998,275.5560991
IN,1999,280.9170025
IN,2000,292.9654214
IN,2001,260.0385913
IN,2002,250.0435139
IN,2003,257.1750605
IN,2004,262.1701193
IN,2005,257.8137444
IN,2006,259.4249121
IN,2007,264.3626519
IN,2008,258.7640938
IN,2009,232.309228
IN,2010,245.4311274
IN,2011,237.4544625
IN,2012,220.3246927
IA,1990,89.45990102
IA,1991,92.78412721
IA,1992,89.80298769
IA,1993,92.09400673
IA,1994,96.27081072
IA,1995,99.39111023
IA,1996,102.5064842
IA,1997,102.4767592
IA,1998,107.0168836
IA,1999,106.8235843
IA,2000,108.0152685
IA,2001,106.2355253
IA,2002,101.0309622
IA,2003,99.27518773
IA,2004,103.152465
IA,2005,104.0740967
IA,2006,116.8527114
IA,2007,129.8152421
IA,2008,129.2107291
IA,2009,123.706927
IA,2010,128.9255471
IA,2011,127.8658439
IA,2012,114.5868642
KS,1990,87.86500651
KS,1991,87.40190833
KS,1992,84.59700187
KS,1993,94.37548284
KS,1994,96.21094005
KS,1995,95.32514407
KS,1996,102.5153946
KS,1997,99.13761462
KS,1998,98.05984524
KS,1999,99.29556667
KS,2000,101.726664
KS,2001,98.30261024
KS,2002,102.5678908
KS,2003,102.5326194
KS,2004,100.2228858
KS,2005,96.91656852
KS,2006,97.76756219
KS,2007,106.3913758
KS,2008,101.6163601
KS,2009,100.6555554
KS,2010,99.83662485
KS,2011,98.50145559
KS,2012,89.8229926
KY,1990,126.3815168
KY,1991,126.225956
KY,1992,130.294196
KY,1993,139.1259447
KY,1994,137.0238877
KY,1995,142.1258004
KY,1996,143.4844609
KY,1997,150.1776629
KY,1998,147.7866277
KY,1999,150.9622987
KY,2000,151.2367318
KY,2001,155.0513394
KY,2002,153.2685776
KY,2003,148.351712
KY,2004,155.6289629
KY,2005,156.9572422
KY,2006,161.543646
KY,2007,161.4186533
KY,2008,158.7491504
KY,2009,149.237454
KY,2010,156.1560803
KY,2011,153.3347745
KY,2012,141.1104419
LA,1990,225.3418646
LA,1991,210.9180748
LA,1992,211.4960259
LA,1993,216.9083901
LA,1994,222.6177362
LA,1995,222.543308
LA,1996,229.5660393
LA,1997,238.8394506
LA,1998,225.2750691
LA,1999,222.8181887
LA,2000,235.8332574
LA,2001,209.7978593
LA,2002,216.6392013
LA,2003,211.9665824
LA,2004,219.8378321
LA,2005,208.7746416
LA,2006,215.6774107
LA,2007,213.5484288
LA,2008,202.8083758
LA,2009,191.667347
LA,2010,213.3361536
LA,2011,217.7023641
LA,2012,205.3069824
ME,1990,40.34698671
ME,1991,39.89994094
ME,1992,40.81776586
ME,1993,40.92289769
ME,1994,42.27219509
ME,1995,8.512986649
ME,1996,-7.889959411
ME,1997,-7.478579221
ME,1998,-7.714538536
ME,1999,-6.702150796
ME,2000,-4.889267511
ME,2001,4.788989295
ME,2002,17.93887581
ME,2003,17.55023359
ME,2004,17.94105176
ME,2005,17.12230884
ME,2006,11.05580333
ME,2007,6.790610968
ME,2008,4.647451612
ME,2009,3.656074091
ME,2010,3.33870232
ME,2011,2.764714973
ME,2012,0.894551582
MD,1990,78.25958763
MD,1991,77.19261562
MD,1992,74.90004847
MD,1993,77.2791097
MD,1994,78.44106982
MD,1995,78.078868
MD,1996,80.72077927
MD,1997,81.71535277
MD,1998,83.9790611
MD,1999,85.27486479
MD,2000,83.37377628
MD,2001,83.9076509
MD,2002,83.72724181
MD,2003,86.4029087
MD,2004,88.35499519
MD,2005,89.95082751
MD,2006,82.93616058
MD,2007,83.4376253
MD,2008,78.71488105
MD,2009,74.77891164
MD,2010,73.65579106
MD,2011,69.17438149
MD,2012,64.58108809
MA,1990,86.40608729
MA,1991,84.8369661
MA,1992,86.71702624
MA,1993,84.3198411
MA,1994,84.51685318
MA,1995,82.29558939
MA,1996,82.97032124
MA,1997,88.37762165
MA,1998,85.14384347
MA,1999,82.97733543
MA,2000,83.67436639
MA,2001,83.36559336
MA,2002,84.1629529
MA,2003,85.2221319
MA,2004,83.67201054
MA,2005,85.4375414
MA,2006,77.38300192
MA,2007,81.00877394
MA,2008,78.02227892
MA,2009,71.7957837
MA,2010,73.67898754
MA,2011,70.05145686
MA,2012,63.72586093
MI,1990,150.3090209
MI,1991,150.3478858
MI,1992,161.3161107
MI,1993,214.7202978
MI,1994,221.3813506
MI,1995,224.0132673
MI,1996,229.6281088
MI,1997,233.7253636
MI,1998,230.3817678
MI,1999,238.3010206
MI,2000,235.4072942
MI,2001,230.5293955
MI,2002,217.4118398
MI,2003,155.1353154
MI,2004,157.6524917
MI,2005,158.9152772
MI,2006,148.4582489
MI,2007,151.6926553
MI,2008,143.9659586
MI,2009,130.8129224
MI,2010,133.4723701
MI,2011,128.612802
MI,2012,121.5896351
MN,1990,128.6293161
MN,1991,129.3540239
MN,1992,129.4603063
MN,1993,134.1906347
MN,1994,136.8883732
MN,1995,139.5331597
MN,1996,145.3274516
MN,1997,143.5510291
MN,1998,143.7881734
MN,1999,143.7392516
MN,2000,149.507996
MN,2001,95.58078899
MN,2002,63.93385841
MN,2003,67.09230391
MN,2004,66.08941287
MN,2005,67.74477963
MN,2006,73.97822075
MN,2007,79.54898349
MN,2008,77.36719967
MN,2009,69.85691984
MN,2010,71.82698882
MN,2011,70.95669244
MN,2012,62.41643487
MS,1990,20.01038136
MS,1991,19.71378642
MS,1992,20.05317232
MS,1993,15.46069369
MS,1994,7.575055632
MS,1995,9.189145293
MS,1996,12.74405099
MS,1997,16.48927454
MS,1998,17.56781275
MS,1999,21.6976311
MS,2000,20.9743275
MS,2001,29.57471027
MS,2002,23.09673243
MS,2003,24.6296985
MS,2004,26.22102606
MS,2005,24.82402265
MS,2006,26.94810476
MS,2007,32.03579214
MS,2008,28.24142289
MS,2009,22.34407172
MS,2010,28.20802052
MS,2011,24.58742902
MS,2012,23.67982156
MO,1990,111.5199128
MO,1991,112.2522049
MO,1992,112.3892842
MO,1993,110.8280196
MO,1994,120.1962027
MO,1995,127.1007741
MO,1996,135.3238546
MO,1997,139.48107
MO,1998,142.8372118
MO,1999,141.5988651
MO,2000,136.7530697
MO,2001,134.9838823
MO,2002,112.0357967
MO,2003,118.8665599
MO,2004,120.7911607
MO,2005,122.7769963
MO,2006,140.2224378
MO,2007,147.9357501
MO,2008,142.638856
MO,2009,136.7678733
MO,2010,142.3109066
MO,2011,141.3671337
