STATE,NAME,AVG_EMISSION
AL,Alabama,107.1219717
AK,Alaska,19.00903955
AZ,Arizona,97.98920438
AR,Arkansas,47.26619422
CA,California,416.3794074
CO,Colorado,99.67971433
CT,Connecticut,41.96308142
DE,Delaware,17.0198644
DC,DC,4.697733919
FL,Florida,233.132036
GA,Georgia,132.8380497
HI,Hawaii,22.6211381
ID,Idaho,11.29301013
IL,Illinois,254.6237519
IN,Indiana,244.1441692
IA,Iowa,107.4510446
KS,Kansas,97.46282913
KY,Kentucky,147.6362225
LA,Louisiana,216.9226341
ME,Maine,12.46033242
MD,Maryland,79.94946073
MA,Massachusetts,81.2940098
MI,Michigan,181.2078435
MN,Minnesota,103.9287956
MS,Mississippi,21.55939931
MO,Missouri,129.6903421
MT,Montana,3.657722341
NE,Nebraska,65.32162095
NV,Nevada,36.59557656
NH,New Hampshire,10.9213863
NJ,New Jersey,125.5762237
NM,New Mexico,72.08501705
NY,New York,194.1337366
NC,North Carolina,145.6951182
ND,North Dakota,59.3479172
OH,Ohio,274.3289502
OK,Oklahoma,124.7943713
OR,Oregon,23.06076845
PA,Pennsylvania,278.463947
RI,Rhode Island,12.34335905
SC,South Carolina,58.99133258
SD,South Dakota,27.82464584
TN,Tennessee,97.43023203
TX,Texas,759.4034103
UT,Utah,45.39360495
VT,Vermont,0.783466947
VA,Virginia,116.1316178
WA,Washington,54.94136412
WV,West Virginia,113.6754671
WI,Wisconsin,92.48623907
WY,Wyoming,87.89638192